,date,movieCd,movieNm,showCnt,scrnCnt,openDt,audiAcc,sameOpenDtCnt,dateAfter7Days,showAcc,scrnAcc
23,2019-04-03,20185352,어스,2232,612,2019-03-27,1101819,6,2019-04-03,11799,2655
24,2019-04-03,20183773,장난스런 키스,495,294,2019-03-27,220364,6,2019-04-03,3008,1288
27,2019-04-03,20196025,덤보,355,257,2019-03-27,236357,6,2019-04-03,3240,1369
90,2019-04-10,20183096,생일,3063,791,2019-04-03,498167,5,2019-04-10,28176,6744
94,2019-04-10,20196244,샤잠!,2275,686,2019-04-03,569214,5,2019-04-10,36052,8344
99,2019-04-10,20197092,로망,226,149,2019-04-03,60426,5,2019-04-10,5509,2955
163,2019-04-17,20185406,헬보이,1760,524,2019-04-10,262240,3,2019-04-17,18089,5154
173,2019-04-18,20180825,미성년,1323,507,2019-04-11,195500,3,2019-04-18,18529,4822
178,2019-04-18,20198104,바이스,516,182,2019-04-11,99042,3,2019-04-18,6560,1820
234,2019-04-24,20183454,요로나의 저주,275,183,2019-04-17,187616,3,2019-04-24,17378,4258
245,2019-04-25,20198982,크게 될 놈,171,127,2019-04-18,85152,2,2019-04-25,6877,2838
249,2019-04-25,20198912,노무현과 바보들,38,33,2019-04-18,18142,2,2019-04-25,215,196
300,2019-05-01,20184889,어벤져스: 엔드게임,11104,2508,2019-04-24,8242532,1,2019-05-01,100267,22087
312,2019-05-02,20198183,뽀로로 극장판 보물섬 대모험,723,465,2019-04-25,408231,2,2019-05-02,8834,4574
371,2019-05-08,20185784,나의 특별한 형제,3582,855,2019-05-01,976585,3,2019-05-08,25307,6501
446,2019-05-15,20185384,호텔 뭄바이,251,147,2019-05-08,47721,1,2019-05-15,4192,1480
452,2019-05-16,20184082,걸캅스,2953,809,2019-05-09,855994,5,2019-05-16,29528,6936
455,2019-05-16,20198598,명탐정 피카츄,689,401,2019-05-09,512436,5,2019-05-16,19380,7048
510,2019-05-22,20188941,악인전,6040,1124,2019-05-15,1914726,3,2019-05-22,48157,9598
514,2019-05-22,20187981,배심원들,1106,460,2019-05-15,237734,3,2019-05-22,17150,5533
518,2019-05-22,20190725,물의 기억,100,49,2019-05-15,11812,3,2019-05-22,245,132
528,2019-05-23,20198597,교회오빠,89,62,2019-05-16,35806,3,2019-05-23,1882,1356
586,2019-05-29,20199448,어린 의뢰인,762,358,2019-05-22,185553,2,2019-05-29,15841,4852
591,2019-05-30,20183867,알라딘,2493,754,2019-05-23,1412968,5,2019-05-30,35684,8757
655,2019-06-05,20184865,고질라: 킹 오브 몬스터,424,276,2019-05-29,332734,2,2019-06-05,14544,4786
658,2019-06-05,20188144,0.0MHz,153,110,2019-05-29,123445,2,2019-06-05,5184,2875
660,2019-06-06,20183782,기생충,7975,1574,2019-05-30,5355675,3,2019-06-06,71268,14410
723,2019-06-12,20182387,엑스맨: 다크 피닉스,1235,487,2019-06-05,804755,2,2019-06-12,24146,6273
725,2019-06-12,20198291,로켓맨,284,176,2019-06-05,90913,2,2019-06-12,8433,3838
793,2019-06-19,20196657,맨 인 블랙: 인터내셔널,2371,671,2019-06-12,746052,1,2019-06-19,33948,7758
806,2019-06-20,20190273,천로역정: 천국을 찾아서,164,124,2019-06-13,104593,4,2019-06-20,3608,2440
866,2019-06-26,20198453,롱 리브 더 킹: 목포 영웅,1708,627,2019-06-19,856681,1,2019-06-26,28074,6833
872,2019-06-27,20184047,토이 스토리 4,3267,836,2019-06-20,1548144,4,2019-06-27,38794,8733
934,2019-07-03,20196655,존 윅 3: 파라벨룸,1261,517,2019-06-26,770203,4,2019-07-03,20595,6521
935,2019-07-03,20199951,애나벨 집으로,396,253,2019-06-26,335324,4,2019-07-03,11596,4390
939,2019-07-03,20182585,비스트,161,125,2019-06-26,194522,4,2019-07-03,11561,4195
990,2019-07-09,20196309,스파이더맨: 파 프롬 홈,9769,1901,2019-07-02,5011450,1,2019-07-09,85511,16754
1076,2019-07-17,20185986,진범,403,176,2019-07-10,133241,2,2019-07-17,6304,1643
1077,2019-07-17,20185353,기방도령,344,232,2019-07-10,263920,2,2019-07-17,14910,4464
1141,2019-07-24,20175771,라이온 킹,4982,1151,2019-07-17,2734017,2,2019-07-24,72204,13955
1216,2019-07-31,20182490,나랏말싸미,666,399,2019-07-24,899992,3,2019-07-31,36572,7695
1218,2019-07-31,20192725,명탐정 코난: 감청의 권,129,106,2019-07-24,203879,3,2019-07-31,8178,4009
1219,2019-07-31,20190002,롱 샷,60,48,2019-07-24,176558,3,2019-07-31,7670,3729
